  slev   sx    sy dlev   dx    dy  count       per       cum
b   14 4825 10225   14 4825 10228   9409 3.363259e-02  90.596483
b   14 4824 10223   14 4823 10223   9363 3.346816e-02  90.629951
b   14 4830 10227   14 4825 10225   9299 3.323940e-02  90.663190
b   14 4826 10229   14 4825 10227   9250 3.306424e-02  90.696254
b   14 4830 10227   14 4826 10228   9221 3.296058e-02  90.729215
b   14 4823 10224   14 4825 10224   9157 3.273181e-02  90.761947
b   14 4824 10226   14 4825 10222   9128 3.262815e-02  90.794575
b   14 4824 10224   14 4826 10226   9059 3.238151e-02  90.826956
b   14 4827 10227   14 4827 10227   9052 3.235649e-02  90.859313
b   14 4826 10227   14 4823 10225   8954 3.200619e-02  90.891319
b   14 4824 10225   14 4826 10222   8953 3.200261e-02  90.923322
b   14 4825 10228   14 4825 10225   8891 3.178099e-02  90.955103
b   14 4825 10226   14 4828 10227   8886 3.176312e-02  90.986866
b   14 4824 10224   14 4826 10225   8810 3.149146e-02  91.018357
b   14 4827 10226   14 4827 10226   8781 3.138780e-02  91.049745
